,index,Локация,Категория,Вопрос,Заполнено,Предлагаемые материалы,Вопросов по локации
28,28,Китай,Восточная Азия,Опиумные войны и их роль в «открытии» Китая.,,,
29,29,Китай,Восточная Азия,"Движение тайпинов в Китае, их социально-экономическая и политическая программа, религиозные воззрения.",,,
30,30,Китай,Восточная Азия,Тайные общества в Цинском Китае. Особенности их деятельности и роль в политической жизни.,,,
31,31,Китай,Восточная Азия,Государственная организация Цинской империи. Феномен «шэньши».,,,
32,32,Китай,Восточная Азия,Борьба империалистических держав за сферы влияния в Китае на рубеже XIX–XX вв.,,,
33,33,Китай,Восточная Азия, Сунь Ятсен и его роль в политической истории Китая в ХХ в. ,,,
34,34,Китай,Восточная Азия,Объединение Китая под властью Гоминьдана. Борьба Гоминьдана с КПК. Образование КНР (1949 г.) и становление новой власти.  ,,,
35,35,Китай,Восточная Азия,Особенности режима власти Мао Цзэдуна. «Большой скачок». «Культурная революция». ,,,
36,36,Китай,Восточная Азия, Причины и последствия советско-китайского раскола конца 50-х – начала 60-х годов XX в. ,,,
37,37,Китай,Восточная Азия,Китай в эпоху рыночных реформ. Концепция «социализма с китайской спецификой» и ее реализация. ,,,
38,38,Азия и Африка,Общие проблемы,Причины и последствия распада колониальной системы в Азии и Африке. Феномен неоколониализма. ,,,
39,39,Азия и Африка,Общие проблемы,Традиционализм и фундаментализм в странах Азии и Африки в XX в.   ,,,
40,40,Азия и Африка,Общие проблемы,Первая мировая война и ее влияние на судьбы народов Азии и Африки. ,,,
41,41,Азия и Африка,Общие проблемы,Особенности функционирования колониальной системы в 20–30-х годах XX в. ,,,
42,42,Азия и Африка,Общие проблемы,Вторая мировая война в Азии и Африке. ,,,
43,43,Азия и Африка,Общие проблемы,Деятельность Коминтерна на Востоке в 30–40-е годы XX в. Развитие коммунистического движения в афро-азиатском мире (вторая половина XX в.).  ,,,
44,44,Иран,Ближний Восток,Иран в первой половине XIX в. Бабидские восстания. ,,,
45,45,Иран,Ближний Восток,Цели реформ Реза-шаха Пехлеви в Иране (1925–1941 гг.) и их осуществление. ,,,
46,46,Иран,Ближний Восток,«Белая революция» в Иране и крах шахского режима. Исламская Республика Иран в 80-х годах XX – начале XXI в. ,,,
47,47,Афганистан,Средняя Азия, Афганистан во второй половине XIX в. и его отношения с Англией.,,,
48,48,Афганистан,Средняя Азия,Афганский кризис: истоки и современное состояние. ,,,
49,49,Индонезия,Юго-Восточная Азия, Превращение Индонезии в голландскую колонию в XVII–XVIII вв.,,,
50,50,Индонезия,Юго-Восточная Азия,Сукарно и его роль в становлении независимой Индонезии. ,,,
51,51,Турция,Ближний Восток,Зарождение «Восточного вопроса»: Османская империя во второй половине XVIII – начале ХIX в. и великие державы. ,,,
52,52,Турция,Ближний Восток,«Новые османы» и конституционное движение в Османской империи.,,,
53,53,Турция,Ближний Восток,Реформы эпохи Танзимата в Османской империи и их итоги.,,,
54,54,Турция,Ближний Восток,Социально-экономические и политические реформы в Турции между мировыми войнами. ,,,
55,55,Турция,Ближний Восток, Роль армии в политической жизни Турции (вторая половина XX – начало XXI в.). ,,,
56,56,Левант,Общие проблемы Ближнего Востока,Левантийская торговля и ее роль в развитии внешнеэкономических связей стран Восточного Средиземноморья с Европой в XVI–XVII вв.,,,
57,57,Ближний Восток,Общие проблемы Ближнего Востока,Основные течения идейно-политической мысли на Ближнем Востоке в конце XIX – начале XX в.,,,
58,58,Ближний Восток,Общие проблемы Ближнего Востока,Кувейтский кризис (1990–1991 гг.) и его международно-политические последствия. Судьбы Ирака в конце XX – начале XXI в. ,,,
59,59,Ближний Восток,Общие проблемы Ближнего Востока,Ближневосточный конфликт: истоки и современное состояние. ,,,
60,60,Ближний Восток,Общие проблемы Ближнего Востока,Саудовская Аравия и малые государства Персидского Залива: особенности социально-экономического и политического развития (вторая половина XX – начало XXI в.).,,,
61,61,Средняя Азия,Общие проблемы Средней Азии,Англо-русское соперничество на Среднем Востоке в ХIX в.,,,
62,62,Корея,Юго-Восточная Азия, «Открытие» Кореи и его последствия.,,,
63,63,Корея,Юго-Восточная Азия,Война в Корее (1950–1953 гг.). Судьбы Северной и Южной Кореи во второй половине XX – начале XXI в. ,,,
64,64,Восточная Азия,Общие проблемы Восточной Азии,Причины и характерные черты «восточноазиатского экономического чуда».,,,
65,65,Восточная Азия,Общие проблемы Восточной Азии,Англо-французское соперничество в Юго-Восточной Азии во второй половине XIX – начале XX в.,,,
66,66,Восточная Азия,Общие проблемы Восточной Азии,Изменения в социальной структуре стран Юго-Восточной Азии в период колониального правления.,,,
67,67,ЮАР,Африка,"Апартеид: сущность доктрины, ее реализация в ЮАР. Современные концепции расового противостояния. ",,,
